Region,Districts,TA,EPA,Constituency,GVH,Village,Organisation_Name,Organisation_status,NYCOM_Affiliate,Total_Males_staff,Total_Females_Staff,Focus_AREA,Focus_AREA_Economic,Focus_AREA_Climate_Change,Focus_AREA_Education,Focus_AREA_Health,Focus_AREA_Gender_SocialProtection,Focus_AREA_Agriculture,Focus_AREA_Governance,Economic,Economic_Small_scale_Mining,Economic_MSMEs,Economic_Group_Economies,Economic_IGAs,Economic_Financial_literacy,Economic_Energy,Economic_Transport,Economic_Creative_Industries,Economic_Digital_Skills,Economic_Tourism,Climate_Change,Climate_Change_Environment,Climate_Change_Climatechange_mit,Climate_Change_ClimateJustice_advocacy,Climate_Change_Climatechang_adapt,Climate_Change_Capacitybuilding_training,Climate_Change_Research_innovation,Education,Education_ECD_CBCC,Education_Literacy_language,Education_IEC_Media,Education_VocationalskillsTraining,Education_Arts_craft,Education_Leadership,Education_Cultural_values,Education_Library_service,Education_ICT,Education_Guidance_councelling,Education_STEAM,Education_Foundational_Learning,Education_Inclusive_Education,Education_Schoolhealth_nutrition,Education_Schoolleadership_mangnt,Education_Bursaries_Scholars,Education_Adult_Literacy,Education_Functional_Literacy,Education_Advocacy,Health,Health_HIV_AIDS_STIs,Health_CSEoutofschool,Health_SRHR_Fistula,Health_SRHR_YFHS,Health_SRHR_Familyplanning,Health_Humanitarian_response,Health_Access_SRHR_Vulnerablegrps,Health_Maternal_Health,Health_Peer_Education,Health_SubstanceUse_Abuse,Health_SocialBehaviourChange,Health_MentalHealth,Health_PplLivngwithHIV,Health_WASH,Health_Advocacy,Gender_socialP,Gender_socialP_Gender_equality,Gender_socialP_children_rights,Gender_socialP_Women_girlsEmpowerment,Gender_socialP_Women_rights,Gender_socialP_child_protection,Gender_socialP_youth_childdev,Gender_socialP_Behavior_change,Gender_socialP_Elderly_care,Gender_socialP_Guidance_councelling,Gender_socialP_Resource_centres,Gender_socialP_Orphan_Care,Gender_socialP_Advocacy_policyAdvocacy,Gender_socialP_GBV,Gender_socialP_Adult_literacy,Gender_socialP_Communityskilldev,Gender_socialP_EndingChildMarriages,Gender_socialP_Trad_CulturalPractices,Gender_socialP_TraffickingPersonsPrevention,Gender_socialP_Communitypolicing,Governance,Governance_PoliticalParticipation,Governance_CivicParticipation,Governance_Advocacy_Lobbying,Governance_DemocracyPromotion,Governance_HumanRightsPromotion,Governance_Networking,Governance_Leadership,Agriculture,Agriculture_AgricProd_Productivity,Agriculture_Food_NutritionSecurity,Agriculture_Agribusiness,Agriculture_Sustainabledev,Agriculture_AgricResearch_Innovation,Agriculture_Advocacy,Mission_Statement,Vision,Total_Male Beneficiaries,TotalFem_Beneficiaries,Males_withdisabillity,Females_withdisabillity,Males_disclosedHIVstatus,Females_disclosedHIVstatus,Board_Meeting,Executive_Meeting,Organisation_Meeting,IGA_Activity,Areas_ofimprovement,Areas_ofimprovement_Health,Areas_ofimprovement_leadership,Areas_ofimprovement_Entrepreneurship,Areas_ofimprovement_M_E,Areas_ofimprovement_ICT,Areas_ofimprovement_Vocational,Areas_ofimprovement_Finance,Areas_ofimprovement_Administration,Areas_ofimprovement_Communication,Areas_ofimprovement_Procurement,MRA_Reg_Cert,Ngora_Reg_Cert,Congoma_Reg_Cert,Registrageneral_Reg_Cert,Youthcoop_Reg_Cert,MBS_Reg_Cert,MSME_Reg_Cert,Challenges,Challenges_Access_to_Land,Challenges_Finances,Challenges_Capacity_Building,Challenges_Lack_Systems,Challenges_Regulatorybody_registration,Challenges_ResourseMobilisationTechiniques,Challenges_Markets,Challenges_Networking_Partnership_building,Challenges_Leadership,Latitude,Longitude,Altitude,Accuracy
South,Balaka,TA Msamala,Bazale,Balaka central,Mponda,Mponda,Nkhadza alive youth organization,Active,Yes,3,5,Education Health Agriculture Governance,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,ECD&CBCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HIV,AIDS,STIs MentalHealth",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Advocacy&Lobbying,0,0,1,0,0,0,0,Food&NutritionSecurity,0,1,0,0,0,0,To achieve a social economic empowered community to overcome public health challenges,To empower youth community by 2025,1091,548,15,21,9,12,Biannually,Monthly,Quarterly,Farming,Entrepreneurship Finance,0,0,1,0,0,0,1,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Access_to_Land Lack_Systems ResourseMobilisationTechiniques,1,0,0,1,0,1,0,0,0,-14.9919450759512,34.9471021342432,641.5,12.6
South,Balaka,TA Msamala,Chiyendausiku,Ngwangwa central,Mpolola,Kachisi,Tithandizeni youth support organisation,Active,Pending,6,5,Economic Education Health Agriculture,1,0,1,1,0,1,0,Group_Economies,0,0,1,0,0,0,0,0,0,0,,,,,,,,ECD&CBCC VocationalskillsTraining,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SRHR_YFHS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AgricProd&Productivity,1,0,0,0,0,0,Helping vulnerable youth build a better future,None,131,95,1,0,0,0,Annually,Weekly,Weekly,None,leadership Finance,0,1,0,0,0,0,1,0,0,0,No,Yes,Yes,Yes,Yes,No,No,Finances Capacity_Building ResourseMobilisationTechiniques,0,1,1,0,0,1,0,0,0,-14.9969969762478,34.9800621336519,607.9,4.9
South,Balaka,Sitola,Mtubi,Likwenu,Kaudzu,Kaudzu,Centre for youth empowerment and civic education (CYECE),Active,Yes,0,3,Economic Gender&SocialP,1,0,0,0,1,0,0,IGAs,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women&girlsEmpowerment EndingChildMarriages,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,"CYECE exists to promote adolescents and youth sexual and reproductive Health, childrens rights and meaningful youth participation in social and economic development through social mobilisation capacity building, communication, education and advocacy",By 2030 malawi is an informed and inclusive society where children and young peoples rights are realised and safeguard,2900,2900,0,0,0,0,None,Weekly,Weekly,NA,M&E Finance,0,0,0,1,0,0,1,0,0,0,No,Yes,Yes,Yes,No,No,No,Markets Networking&Partnership_building Leadership,0,0,0,0,0,0,1,1,1,-15.070577779418,35.2288964846475,499.4,5
Central,Mchinji,TA Zulu,Zulu,West,Robert,Mayadi,Youth Alliance for Suistainable Development(YASD),Active,Pending,26,5,Economic Climate_Change Health Agriculture,1,1,0,1,0,1,0,IGAs Financial_literacy,0,0,0,1,1,0,0,0,0,0,Environment Climatechange_mit Climatechang_adapt Capacitybuilding&training,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AgricProd&Productivity Food&NutritionSecurity Advocacy,1,1,0,0,0,1,To Unleash full potential Of Youth and marginalized groups in socio-economic developmets and Suistainable livelihoods.,To have a society where youth is fully engaged in development activities,450,244,0,1,0,0,Quarterly,Monthly,Weekly,"Donor, contribution within organisation and fundraising",leadership Entrepreneurship,0,1,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Finances Regulatorybody_registration ResourseMobilisationTechiniques,0,1,0,0,1,1,0,0,0,-13.7996305,32.8833759,1190.7,4.6
Central,Mchinji,TA Zulu,Zulu,West,Robert,Mayadi,Girls Activist Youth Organization,Active,Yes,6,6,Economic Climate_Change Education Health,1,1,1,1,0,0,0,Group_Economies IGAs Financial_literacy Digital_Skills,0,0,1,1,1,0,0,0,1,0,Environment ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training,1,0,1,1,1,0,ECD&CBCC Literacy&language VocationalskillsTraining Library_service Guidance_councelling Foundational_Learning Inclusive_Education Bursaries_Scholars Adult_Literacy,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,"HIV,AIDS,STIs SRHR_YFHS Access_SRHR_Vulnerablegrps WASH Advocacy",1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To equip the youth with knowledge skills and values to be self-reliant citizens,Building a nation where adolescents' youth and women are self Suistainable,10499,13564,179,252,10,13,Quarterly,Bi_weekly,Bi_weekly,Donor support,Entrepreneurship Vocational,0,0,1,0,0,1,0,0,0,0,Yes,Yes,Yes,Yes,No,No,No,Lack_Systems ResourseMobilisationTechiniques Networking&Partnership_building,0,0,0,1,0,1,0,1,0,-13.7915403,32.8886651,1218,4.2
Central,Mchinji,TA Mlonyeni,Mlonyeni,South west,Mlonyeni,Mlonyeni,Mlonyeni youth organizations,Active,Yes,33,19,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,Group_Economies IGAs Digital_Skills,0,0,1,1,0,0,0,0,1,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt,1,1,1,1,0,0,ECD&CBCC VocationalskillsTraining Arts_craft Foundational_Learning Inclusive_Education Bursaries_Scholars Adult_Literacy,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,"HIV,AIDS,STIs SRHR_YFHS SRHR_Familyplanning Maternal_Health Peer_Education WASH Advocacy",1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection Behavior_change Elderly_care Orphan_Care GBV Adult_literacy Communityskilldev EndingChildMarriages Trad&CulturalPractices TraffickingPersonsPrevention Communitypolicing,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,PoliticalParticipation CivicParticipation Advocacy&Lobbying DemocracyPromotion Networking Leadership,1,1,1,1,0,1,1,AgricProd&Productivity Food&NutritionSecurity Advocacy,1,1,0,0,0,1,"Young people should be self-reliant, know their HIV status, and promote education among themselves.",Young people should learn practical skills and economic empowerment.,20520,16469,81,24,93,113,Quarterly,Quarterly,Bi_weekly,Farming and Donor funding,leadership Finance,0,1,0,0,0,0,1,0,0,0,No,Yes,No,No,No,No,No,Finances Capacity_Building Networking&Partnership_building,0,1,1,0,0,0,0,1,0,-13.8573716,33.0259529,1099,5
Central,Mchinji,TA Zulu,Zulu,West,Robert,Robert,Mchinji Youth Alive,Active,Yes,19,22,Economic Climate_Change Education Health Gender&SocialP Agriculture Governance,1,1,1,1,1,1,1,MSMEs Group_Economies IGAs Financial_literacy Creative_Industries,0,1,1,1,1,0,0,1,0,0,Environment Climatechange_mit ClimateJustice_advocacy Climatechang_adapt Capacitybuilding&training Research_innovation,1,1,1,1,1,1,ECD&CBCC Literacy&language IEC&Media VocationalskillsTraining Leadership Cultural_values ICT Guidance_councelling Foundational_Learning Inclusive_Education Functional_Literacy Advocacy,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,"HIV,AIDS,STIs CSEoutofschool SRHR_Fistula SRHR_YFHS SRHR_Familyplanning Access_SRHR_Vulnerablegrps Maternal_Health Peer_Education SubstanceUse&Abuse SocialBehaviourChange MentalHealth PplLivngwithHIV WASH Advocacy",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Gender_equality children_rights Women&girlsEmpowerment Women_rights child_protection youth&childdev Behavior_change Elderly_care Guidance_councelling Resource_centres Advocacy-policyAdvocacy GBV EndingChildMarriages Trad&CulturalPractices TraffickingPersonsPrevention,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,CivicParticipation Advocacy&Lobbying DemocracyPromotion HumanRightsPromotion Networking Leadership,0,1,1,1,1,1,1,AgricProd&Productivity Food&NutritionSecurity Agribusiness Advocacy,1,1,1,0,0,1,"To empower young people in Mchinji through education, life skill training and promoting positive behavior for a healthier and stronger community.",A generation of empowered and responsible youth leading a positive in a community free from poverty and preventable disease.,232,199,1,6,0,0,Quarterly,Bi_weekly,Annually,Fundraising and contribution,Health Finance,1,0,0,0,0,0,1,0,0,0,No,Yes,No,Yes,Yes,No,No,Access_to_Land Capacity_Building Networking&Partnership_building,1,0,1,0,0,0,0,1,0,-13.7958127,32.891237,1200.6,68.4
South,Balaka,TA Chanthunya,Bazare,Balaka central,Chauluka,Chauluka,Andiyamo youth cooperative trust,Active,Yes,10,2,Education,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,VocationalskillsTraining,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To create spaces for access to health care, education and job creation for a wide community in balaka malawi",None,29,9,0,0,1,0,Annually,Bi_weekly,Weekly,"Hospital, schools",Entrepreneurship Vocational,0,0,1,0,0,1,0,0,0,0,No,Yes,Yes,Yes,No,No,No,Finances Capacity_Building Leadership,0,1,1,0,0,0,0,0,1,-14.9945566769727,34.9575923960149,631.7,10.1
South,Machinga,TA Kawinga,Nanyumbu,Mikoko,Kawinga,Kawinga,Community change for youth development (CCYD),Active,Yes,6,5,Climate_Change Education Health Gender&SocialP Governance,0,1,1,1,1,0,1,,,,,,,,,,,,Climatechange_mit,0,1,0,0,0,0,Bursaries_Scholars Advocacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,SRHR_YFHS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Women&girlsEmpowerment Behavior_change EndingChildMarriages,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,HumanRightsPromotion,0,0,0,0,1,0,0,,,,,,,,"To bring about social movement among community members in dealing up with issues that affect the youth, adolescent girls, and young women and children negatively through capacity building",Ensuring that there is reduction in number of child marriages in the area of paramount chief kawinga by the year 2030,90,125,3,3,0,1,Biannually,Bi_weekly,Biannually,Farming,leadership Finance,0,1,0,0,0,0,1,0,0,0,No,No,No,No,No,No,No,Finances Capacity_Building Leadership,0,1,1,0,0,0,0,0,1,-14.8540009815757,35.5739287244191,731,4.8
South,Machinga,Mtumbwinda,Chikweo,Machinga South east,Chipolonga,Chipolonga,Development Network for youth Empowerment (DENEYE),Active,Pending,14,12,Economic Climate_Change Education Health Gender&SocialP Governance,1,1,1,1,1,0,1,IGAs Financial_literacy,0,0,0,1,1,0,0,0,0,0,Climatechange_mit,0,1,0,0,0,0,VocationalskillsTraining Leadership Library_service,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"HIV,AIDS,STIs SRHR_YFHS MentalHealth",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,child_protection,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CivicParticipation Advocacy&Lobbying Leadership,0,1,1,0,0,0,1,,,,,,,,"To provide an appropriate protection of children rights, youth initiatives and opportunity for enabling youth to develop social, economic, cultural and political skills so as to develop and improve their quality life",A society full of young people and adults who are economically independent,380,715,15,25,2,10,Quarterly,Weekly,Quarterly,"Music, farming, donations",leadership Entrepreneurship,0,1,1,0,0,0,0,0,0,0,No,No,No,Yes,No,No,No,Finances ResourseMobilisationTechiniques Leadership,0,1,0,0,0,1,0,0,1,-14.8557966878816,35.6858893386957,681.9,4.4
